,has_background,has_skills,produced_quality,works_well_oth,is_motivated,demonstrates_LPs,correct_job_level,will_succeed,hire_again,raises_bar,top_performer
has_background,1.00,0.72,0.59,0.28,0.65,0.67,0.44,0.65,0.52,0.64,0.53
has_skills,0.72,1.00,0.75,0.42,0.69,0.80,0.47,0.68,0.66,0.71,0.64
produced_quality,0.59,0.75,1.00,0.49,0.69,0.79,0.48,0.68,0.73,0.78,0.63
works_well_oth,0.28,0.42,0.49,1.00,0.41,0.54,0.39,0.35,0.48,0.44,0.54
is_motivated,0.65,0.69,0.69,0.41,1.00,0.73,0.42,0.61,0.67,0.70,0.57
demonstrates_LPs,0.67,0.80,0.79,0.54,0.73,1.00,0.47,0.65,0.69,0.71,0.67
correct_job_level,0.44,0.47,0.48,0.39,0.42,0.47,1.00,0.50,0.56,0.44,0.44
will_succeed,0.65,0.68,0.68,0.35,0.61,0.65,0.50,1.00,0.76,0.76,0.54
hire_again,0.52,0.66,0.73,0.48,0.67,0.69,0.56,0.76,1.00,0.78,0.52
raises_bar,0.64,0.71,0.78,0.44,0.70,0.71,0.44,0.76,0.78,1.00,0.61
top_performer,0.53,0.64,0.63,0.54,0.57,0.67,0.44,0.54,0.52,0.61,1.00
