,has_background,produced_quality,works_well_oth,is_motivated,demonstrates_LPs,correct_job_level,will_succeed,hire_again,raises_bar,is_motivated_num,demonstrates_lps_num,correct_job_level_num,will_succeed_num,hire_again_num
has_background,1.0,0.6019048434600551,,0.890314664909495,,,,,,0.4793102937861789,0.447522440605371,0.3363733520811439,0.6272331013378993,0.6194996243458691
produced_quality,0.6019048434600551,1.0,,0.5001805170083783,,,,,,0.5001805170083783,0.5556018702647533,0.2911018774124165,0.6682157749930121,0.7266859170421004
works_well_oth,,,,,,,,,,,,,,
is_motivated,0.890314664909495,0.5001805170083783,,1.0,,,,,,1.0,0.6918272300374783,0.32844392791219224,0.5924981392865857,0.6847827269983298
demonstrates_LPs,,,,,,,,,,,,,,
correct_job_level,,,,,,,,,,,,,,
will_succeed,,,,,,,,,,,,,,
hire_again,,,,,,,,,,,,,,
raises_bar,,,,,,,,,,,,,,
is_motivated_num,0.4793102937861789,0.5001805170083783,,1.0,,,,,,1.0,0.6918272300374783,0.32844392791219224,0.5924981392865857,0.6847827269983298
demonstrates_lps_num,0.447522440605371,0.5556018702647533,,0.6918272300374783,,,,,,0.6918272300374783,1.0,0.3487029523988206,0.5981829777658181,0.6906224697960553
correct_job_level_num,0.3363733520811439,0.2911018774124165,,0.32844392791219224,,,,,,0.32844392791219224,0.3487029523988206,1.0,0.4539929966897713,0.3658676250743792
will_succeed_num,0.6272331013378993,0.6682157749930121,,0.5924981392865857,,,,,,0.5924981392865857,0.5981829777658181,0.4539929966897713,1.0,0.7764259869621404
hire_again_num,0.6194996243458691,0.7266859170421004,,0.6847827269983298,,,,,,0.6847827269983298,0.6906224697960553,0.3658676250743792,0.7764259869621404,1.0
